"gyártó"|"cikk"|"felhasználás"|"kiszerelés"
"kwizda"|"VEGESOL R"|"gombaölő"|"5 L"
"kwizda"|"VEGESOL R"|"gombaölő"|"20 L "
"kwizda"|"VELOCITY"|"segédanyag"|"1 L"
"kwizda"|"VELOCITY"|"segédanyag"|"5 L"
"kwizda"|"VIVANDO"|"gombaölő"|"0,250L    FT/DB"
"kwizda"|"VIVVENDI"|"gyomirtó"|"5 L"
"nufarm"|"ADMIRAL"|"rovarölő"|"1 L"
"nufarm"|"AGILITY"|"gyomirtó"|"10 L"
"nufarm"|"AMEGA  UP"|"gyomirtó"|"5 L"
"nufarm"|"AMEGA  UP"|"gyomirtó"|"25L"
"nufarm"|"AMEGA  UP"|"gyomirtó"|"1000 L"
"nufarm"|"BACTOSPEINE"|"rovarölő"|"5 KG"
"nufarm"|"CHAMP DP"|"gombaölő"|"10 KG"
"nufarm"|"CUPROXAT FW"|"gombaölő"|"5 L"
"nufarm"|"CUPROXAT FW"|"gombaölő"|"20 L"
"nufarm"|"DEZORMON"|"gyomirtó"|"5 L"
"nufarm"|"DEZORMON"|"gyomirtó"|"1 L"
"nufarm"|"EMBLEM"|"gyomirtó"|"1 KG"
"nufarm"|"GIZMO"|"csávázószer"|"5 L"
"nufarm"|"GIZMO"|"csávázószer"|"1 L"
"nufarm"|"GRAMIN"|"gyomirtó"|"5 L"
"nufarm"|"KAISO "|"rovarölő"|"1KG"
"nufarm"|"KAISO PLUS"|"rovarölő"|"5KG  Kaiso + 20 L Cyren"
"nufarm"|"KIDEKA "|"gyomirtó"|"5L"
"nufarm"|"KIDEKA POWER  N"|"gyomirtó"|"5LZeagran+5LNarval+5LKideka"
"nufarm"|"KYLEO"|"gyomirtó"|"10 L"
"nufarm"|"MECOMORN 750 SL"|"gyomirtó"|"5 L"
"nufarm"|"MEXTROL B"|"gyomirtó"|"5 L"
"nufarm"|"MEZZO"|"gyomirtó"|"75 GR    FT/DB"
"nufarm"|"MOLTOVIN"|"gombaölő"|"5 L"
"nufarm"|"MYSTIC"|"gombaölő"|"5 L"
"nufarm"|"MYSTIC"|"gombaölő"|"1 L"
"nufarm"|"MYSTIC PRO"|"gombaölő"|"5 L"
"nufarm"|"NANDO"|"gombaölő"|"1 L"
"nufarm"|"NARVAL"|"gyomirtó"|"5 L"
"nufarm"|"NUPRID 600 FS Red"|"csávázószer"|"5 L"
"nufarm"|"NUPRID MAX"|"csávázószer"|"5 L"
"nufarm"|"NUPRID MAX"|"csávázószer"|"20 L"
"nufarm"|"OPTICA TRIO"|"gyomirtó"|"5 L"
"nufarm"|"PROLECTUS"|"gombaölő"|"0,250 KG    FT/DB"
"nufarm"|"PROLECTUS"|"gombaölő"|"1 KG"
"nufarm"|"SPODNAM"|"adalékanyag"|"5 L"
"nufarm"|"SPRAYGARD"|"segédanyag"|"5 L"
"nufarm"|"STABILAN"|"regulátor"|"10 L"
"nufarm"|"SUMI ALFA "|"rovarölő"|"5 L"
"nufarm"|"SUMI ALFA "|"rovarölő"|"1 L"
"nufarm"|"TAZER"|"gombaölő"|"1 L"
"nufarm"|"TAZER"|"gombaölő"|"5 L"
"nufarm"|"TIMPANI"|"gombaölő"|"5 L"
"nufarm"|"TROPOTOX"|"gyomirtó"|"5 L"
"nufarm"|"ZEAGRAN 340 SE"|"gyomirtó"|"5 L"
"nufarm"|"ZOOM"|"atkaölő"|"1 L"
"nufarm"|"ZOOM"|"atkaölő"|"0,250 L"
"sharda"|"ALLIGATOR"|"rovarölő"|"5 L"
"sharda"|"BENTA 480 SL"|"gyomirtó"|"5 L"
"sharda"|"COMRADE"|"gombaölő"|"5 L"
"sharda"|"DECA 2,5 EC"|"rovarölő"|"5 L"
"sharda"|"DECA 2,5 EC"|"rovarölő"|"1L"
"sharda"|"DESSICASH 20 SL"|"gyomirtó"|"5L"
"sharda"|"DICASH 480 SL"|"gyomirtó"|"5 L"
"sharda"|"DICASH 480 SL"|"gyomirtó"|"1 L"
"sharda"|"DIFENO 3 FS"|"csávázószer"|"20 L"
"sharda"|"DIFENO 3 FS"|"csávázószer"|"1 L"
"sharda"|"DIFO 25 EC"|"gombaölő"|"1 L"
"sharda"|"EFFECT"|"segédanyag"|"5 L"
"sharda"|"FINY"|"gyomirtó"|"0,100 KG     FT/DB"
"sharda"|"FOLLOW 80 WG"|"gombaölő"|"5 KG"
"sharda"|"KEYPRO"|"gombaölő"|"5L"
"sharda"|"KLOP 30 SL"|"gyomirtó"|"5L"
"sharda"|"MARSH    480 SL"|"gyomirtó"|"1000 L"
"sharda"|"MARSH    480 SL"|"gyomirtó"|"20 L"
"sharda"|"MARSH    480 SL"|"gyomirtó"|"5 L"
"sharda"|"MARSH    480 SL"|"gyomirtó"|"1 L"
"sharda"|"MEZZO"|"gyomirtó"|"0,075KG     FT/DB"
"sharda"|"MICRO SPECIAL"|"gombaölő"|"25 KG"
"sharda"|"MIDO 20 SL"|"rovarölő"|"1L"
"sharda"|"MISHA 20 EW"|"gombaölő"|"1L"
"sharda"|"NEXT "|"növekedésszabályozó"|"5L"
"sharda"|"NICOSH"|"gyomirtó"|"5L"
"sharda"|"NICOSH"|"gyomirtó"|"1L"
"sharda"|"PENDI 330 EC"|"gyomirtó"|"10 L"
"sharda"|"PENNCOZEB DG"|"gombaölő"|"10KG"
"sharda"|"POWERFULL"|"rovarölő"|"5L"
"sharda"|"POWERFULL"|"rovarölő"|"1L"
"sharda"|"PROCEED"|"gombaölő"|"5 L"
"sharda"|"PROPI 25 EC"|"gombaölő"|"5L"
"sharda"|"PROPI 25 EC"|"gombaölő"|"1L"
"sharda"|"QUICK 5 EC"|"gyomirtó"|"5L"
"sharda"|"QUICK 5 EC"|"gyomirtó"|"1L"
"sharda"|"SCAB 80 WDG"|"gombaölő"|"5KG"
"sharda"|"SHAMETRIN 70 WG"|"gyomirtó"|"1KG"
"sharda"|"SHARPEN   330"|"gyomirtó"|"10 L"
"sharda"|"SILICO"|"segédanyag"|"1L"
"sharda"|"SUCCESSOR T"|"gyomirtó"|"10L"
"sharda"|"TEBUSA 25 EW"|"gombaölő"|"5L"
"sharda"|"TEBUSA 25 EW"|"gombaölő"|"1L"
"sumi"|"BIOSILD TOP"|"csávázószer"|"1,10,600 L"
"sumi"|"BIOSILD TWIN"|"csávázószer"|"10 L+8L Lotus"
"sumi"|"CLICK COMBI"|"gyomirtó"|"5 L"
"sumi"|"CYFLAMID "|"gombaölő"|"1L"
"sumi"|"CYFLAMID "|"gombaölő"|"0,020L      FT/DB"
"sumi"|"CYFLAMID "|"gombaölő"|"0,100 L      FT/DB"
"sumi"|"DON -Q"|"gombaölő"|"5 L"
"sumi"|"DON-Q PLUSZ"|"gombaölő"|"10LDonQ+5L Fosfonin "
"sumi"|"ERCOLE"|"talajfertőtlenítő"|"10 KG"
"sumi"|"ERGON"|"gyomirtó"|"0,350 KG        FT/ DB"
"sumi"|"ERGON STAR"|"gyomirtó"|"10-11 HA"
"sumi"|"EXILIS"|"növekedésszabályozó"|"1 L"
"sumi"|"FLEXI"|"segédanyag"|"5 L"
"sumi"|"INAZUMA"|"rovarölő"|"1 KG"
"sumi"|"KABUKI"|"gyomirtó"|"1 L"
"sumi"|"LIETO"|"gombaölő"|"1 KG"
"sumi"|"LIETO"|"gombaölő"|"0,100 L      FT/DB"
"sumi"|"MINERVE 700 SG"|"gyomirtó"|"5 KG"
"sumi"|"MOSPILAN 20 SG"|"rovarölő"|"1 KG"
"sumi"|"MOSPILAN 20 SG"|"rovarölő"|"0,004KG     FT/DB"
"sumi"|"MOSPILAN 20 SG"|"rovarölő"|"0,050 KG    FT/DB"
"sumi"|"MOSPILAN 20 SG"|"rovarölő"|"0,200KG     FT/DB"
"sumi"|"NAGOMI"|"rovarölő"|"1 KG"
"sumi"|"NISSORUN 10 WP"|"atkaölő"|"5 KG"
"sumi"|"NISSORUN 10 WP"|"atkaölő"|"0,020KG    FT/DB"
"sumi"|"NISSORUN 10 WP"|"atkaölő"|"0,100KG    FT/DB"
"sumi"|"NISSORUN 10 WP"|"atkaölő"|"0,500KG      FT/DB"
"sumi"|"NOVAGIB"|"növekedésszabályozó"|"1 L"
"sumi"|"ORTUS 5 SC"|"atkaölő"|"5 L"
"sumi"|"ORTUS 5 SC"|"atkaölő"|"0,005L     FT/DB"
"sumi"|"ORTUS 5 SC"|"atkaölő"|"0,050L      FT/DB"
"sumi"|"ORTUS 5 SC"|"atkaölő"|"0,200 L    FT/DB"
"sumi"|"ORTUS 5 SC"|"atkaölő"|"0,500L      FT/DB"
"sumi"|"PLEDGE "|"gyomirtó"|"(5*80 gr)0,400 kg  FT/DB"
"sumi"|"PLEDGE "|"gyomirtó"|"(2*400GR)0,800 KG  FT/DB"
"sumi"|"SAVVY"|"gyomirtó"|"0,100 KG     FT/DB"
"sumi"|"SOLEIL"|"gombaölő"|"5 L"
"sumi"|"SPUR"|"segédanyag"|"1 L"
"sumi"|"TIURAM GRANUFLOW"|"gombaölő"|"20 KG"
"sumi"|"TIURAM GRANUFLOW"|"gombaölő"|"6 KG"
"sumi"|"TIURAM GRANUFLOW"|"gombaölő"|"0,500KG      FT/DB"
"sumi"|"TOLEDO"|"gombaölő"|"5 L"
"sumi"|"TOPSIN M 70 WDG"|"gombaölő"|"1 KG"
"sumi"|"TOPSIN M 70 WDG"|"gombaölő"|"5 KG"
"sumi"|"TOPSIN M 70 WDG"|"gombaölő"|"0,020KG    FT/DB"
"sumi"|"TOPSIN M 70 WDG"|"gombaölő"|"0,200KG     FT/DB"
"sumi"|"TRUSTEE HI -AKTIV"|"gyomirtó"|"5 L"
"sumi"|"TRUSTEE HI -AKTIV"|"gyomirtó"|"20 L"
"sumi"|"YAMATO"|"gombaölő"|"5 L"
"syngenta"|"ACTARA 240 SC"|"rovarölő"|"5 ML    FT/DB"
"syngenta"|"ACTARA 240 SC"|"rovarölő"|"50 ML   FT/DB"
"syngenta"|"ACTARA 240 SC"|"rovarölő"|"0,250L   FT/L"
"syngenta"|"ACTELLIC"|"rovarölő"|"5L"
"syngenta"|"AFFIRM"|"rovarölő"|"1 KG"
"syngenta"|"ALTIMA"|"gombaölő"|"1L"
"syngenta"|"AMISTAR"|"gombaölő"|"0,200 L    FT/L"
"syngenta"|"AMISTAR"|"gombaölő"|"1L"
"syngenta"|"AMISTAR"|"gombaölő"|"5L"
"syngenta"|"AMISTAR TOP"|"gombaölő"|"0,250L   FT/L"
"syngenta"|"AMISTAR TOP"|"gombaölő"|"1L"
"syngenta"|"AMISTAR XTRA"|"gombaölő"|"5L"
"syngenta"|"AMPLIGO "|"rovarölő"|"1L"
"syngenta"|"ARTEA"|"gombaölő"|"5L"
"syngenta"|"AXIAL ONE"|"gyomirtó"|"5L"
"syngenta"|"BANVEL 480"|"gyomirtó"|"1L"
"syngenta"|"BANVEL 480"|"gyomirtó"|"5 L"
"syngenta"|"BRAVO 500"|"gombaölő"|"1 L"
"syngenta"|"BRAVO 500"|"gombaölő"|"5 L"
"syngenta"|"CALARIS PRO + FIX PRO"|"gyomirtó"|"18,4 L + 1L   FT/L"
"syngenta"|"CALARIS PROFESSIONAL  CS"|"gyomirtó"|"18,4 L+Milagro 2 L"
"syngenta"|"CALLISTO"|"gyomirtó"|"1 L"
"syngenta"|"CASPER"|"gyomirtó"|"1 KG"
"syngenta"|"CHEROKEE"|"gombaölő"|"5 L"
"syngenta"|"CHESS 50WG"|"rovarölő"|"0,250 KG    FT/KG"
"syngenta"|"CHORUS 50 WG"|"gombaölő"|"0,200KG  FT/KG"
"syngenta"|"CHORUS 50 WG"|"gombaölő"|"1 KG"
"syngenta"|"CIDELY TOP"|"gombaölő"|"1 L"
"syngenta"|"DUAL GOLD 960"|"gyomirtó"|"1 L"
"syngenta"|"DUAL GOLD 960"|"gyomirtó"|"5 L"
"syngenta"|"DYNALI"|"gombaölő"|"1 L"
"syngenta"|"FIX-PRO "|"segédanyag"|"0,500 L    FT/L"
"syngenta"|"FORCE 1,5G "|"rovarölő"|"20 KG"
"syngenta"|"FORCE 1,5G "|"rovarölő"|"0,500 KG   FT/KG"
"syngenta"|"FUSILADE FORTE "|"gyomirtó"|"1 L"
"syngenta"|"FUSILADE FORTE "|"gyomirtó"|"5 L"
"syngenta"|"GARDOPRIM PLUS GOLD"|"gyomirtó"|"20 L"
"syngenta"|"INSEGAR "|"rovarölő"|"0,600KG      FT/KG"
"syngenta"|"JUDO"|"rovarölő"|"1 L"
"syngenta"|"JUDO"|"rovarölő"|"5 L"
"syngenta"|"KARATE ZEON "|"rovarölő"|"0,250 L      FT/L"
"syngenta"|"KARATE ZEON "|"rovarölő"|"1 L"
"syngenta"|"LISTEGO"|"gyomirtó"|"5 L"
"syngenta"|"LUMAX"|"gyomirtó"|"5 L"
"syngenta"|"LUZINDO "|"rovarölő"|"0,250 L      FT/L"
"syngenta"|"MEDALLON PRÉM"|"gyomirtó"|"1 L"
"syngenta"|"MEDALLON PRÉM"|"gyomirtó"|"5 L"
"syngenta"|"MEDALLON PRÉM"|"gyomirtó"|"640 L"
"syngenta"|"MODDUS EVO"|"regulátor"|"5 L"
"syngenta"|"NEMATHORIN "|"talajfertőtlenítő"|"4 KG"
"syngenta"|"NEORAM"|"gombaölő"|"5 KG"
"syngenta"|"PERGADO F"|"gombaölő"|"5 KG"
"syngenta"|"QUADRIS"|"gombaölő"|"0,200 L    FT/L"
"syngenta"|"QUADRIS"|"gombaölő"|"1 L"
"syngenta"|"QUADRIS MAX"|"gombaölő"|"1 L"
"syngenta"|"QUADRIS MAX"|"gombaölő"|"10 L"
"syngenta"|"QUILT XCEL"|"gombaölő"|"5 L"
"syngenta"|"REGLONE "|"gyomirtó"|"5 L"
"syngenta"|"RIDOMIL GOLD MZ"|"gombaölő"|"0,250KG   FT/KG"
"syngenta"|"RIDOMIL GOLD MZ"|"gombaölő"|"5 KG"
"syngenta"|"RIDOMIL GOLD PLUS"|"gombaölő"|"0,500 KG   FT/KG"
"syngenta"|"RIDOMIL GOLD PLUS"|"gombaölő"|"5 KG"
"syngenta"|"SCORE EC"|"gombaölő"|"5*5  ML    FT/doboz"
"syngenta"|"SCORE EC"|"gombaölő"|"0,100 L   FT/L"
"syngenta"|"SCORE EC"|"gombaölő"|"1 L"
"syngenta"|"SEGURIS XTRA"|"gombaölő"|"5 L"
"syngenta"|"SWITCH"|"gombaölő"|"0,100 KG     FT/KG"
"syngenta"|"SWITCH"|"gombaölő"|"1 KG"
"syngenta"|"THIOVIT JET"|"gombaölő"|"1 KG"
"syngenta"|"THIOVIT JET"|"gombaölő"|"20 KG"
"syngenta"|"TOPAS"|"gombaölő"|"5*5 ML     FT/DOBOZ"
"syngenta"|"TOPAS"|"gombaölő"|"0,100 L   FT/L"
"syngenta"|"TOPAS"|"gombaölő"|"1 L"
"syngenta"|"TOPREX"|"növekedésszabályozó; gombaölő"|"1 L"
"syngenta"|"VERTIMEC PRO"|"rovarölő"|"0,250 L      FT/L"
"syngenta"|"VERTIMEC PRO"|"rovarölő"|"1 L"
"syngenta"|"VOLIAM TARGO"|"rovarölő"|"1 L"
